Frequency Log(Hz), Gain(dB), Phase(deg)
1.76498014752576,-11.2815442016557,-73.0283564078581
1.77016066002954,-11.3961377350735,-73.1342293948459
1.77494067899635,-11.4827263478514,-73.2928397714687
1.78000441085038,-11.5714295931931,-73.3934905202851
1.78500978106846,-11.648719805033,-73.725644681219
1.78995811962138,-11.7204202043045,-73.848885652928
1.79485071152971,-11.8435926872207,-74.0630171319787
1.80000942972812,-11.9170076194462,-74.0634060504732
1.80510758930721,-12.0758631274543,-74.927200306271
1.81014659559098,-12.1560522383458,-74.6735851244953
1.81512780554606,-12.2745818903122,-75.0624246636893
1.82005252997517,-12.3804684979909,-75.0776322607314
1.82492203558771,-12.3741564128691,-74.9379109627696
1.83003675088177,-12.5441690509565,-75.6665458551731
1.83509193030796,-12.5648019548932,-75.1285083639221
1.84008894394226,-12.7430753883319,-75.9195693649793
1.84502911510461,-12.772885137677,-75.5811902361766
1.84991372246247,-12.9177744750896,-76.0926974782531
1.85502646998311,-12.9386290597418,-75.7031123260988
1.86007972717137,-13.0872679057169,-76.1502303355878
1.86507486254075,-13.2161797590767,-76.3492528777741
1.87001319791935,-13.3285445267749,-76.5334302302281
1.87489601054955,-13.4662497986583,-75.7504926854736
1.87999121882621,-13.5291994051091,-76.490940376604
1.8850273418788,-13.6246412464387,-76.7868452923179
1.89000573434571,-13.7299639669138,-76.5263475377182
1.89492770480642,-13.806728816228,-76.7256068421479
1.9000491613492,-13.9491828492407,-76.3083871307624
1.90511092589689,-13.8762663439333,-77.2298495293378
1.91011437388725,-13.9725167342194,-77.3466592400746
1.91506083375925,-14.1959258130285,-77.287856318437
1.91995158907023,-14.3109786344242,-76.9743386081496
1.92502828707863,-14.3240249849024,-77.390648323647
1.93004632591551,-14.3690105223635,-77.8039151051181
1.93500704567687,-14.6012974535052,-77.5958111347494
1.9399117410542,-14.6903462171772,-77.2403644804053
1.94499126658347,-14.7879953441318,-77.3363567698347
1.95001206795852,-14.8853295253391,-77.441919795461
1.95497548749007,-14.9788377010671,-77.4391490718318
1.96010457051244,-15.0769566008613,-77.6433587703664
1.96495461005625,-15.1696445902877,-77.7388931970497
1.96996785171291,-15.2667550057745,-77.8241191145859
1.97492388321071,-15.3213577996311,-78.2215143937665
1.98003579488607,-15.4623710757332,-78.0765736959202
1.98508823556581,-15.5570840677027,-78.1658831214537
1.9900825731001,-15.6306918051432,-78.2870860600214
1.9950201286837,-15.6623785041044,-78.9174805296921
1.99990217895395,-15.730990068963,-79.0115529423866
2.00492995543451,-15.8215537247249,-79.0829040457178
2.01009782260517,-15.9276348647376,-79.2522544220614
2.01500959721669,-16.0940624410729,-78.8831563511712
2.02005958995333,-16.1781450000545,-78.9323874046132
2.02505153551083,-16.2819486311286,-79.2461343002129
2.02998675318634,-16.3668146916398,-79.4503500510435
2.03505311049555,-16.4767192957496,-79.3180213975406
2.04006104598262,-16.5562430126324,-79.4085797384994
2.04501189166446,-16.6680141647672,-79.4702181077257
